name,loop_start_sec,loop_end_sec
SM3DW_Airship_Edit,23.999958,87.428333
SM3DW_Airship,23.999958,87.428333
SM3DW_Airship_Hurry,5.080208,59.232271
SM3DW_Athletic_Edit,14.108271,58.108292
SM3DW_Athletic,14.108271,58.108292
SM3DW_Athletic_Hurry,3.408437,40.591563
SM3DW_Castle_Edit,21.044458,86.501479
SM3DW_Castle,21.044458,86.501479
SM3DW_Castle_Hurry,0.009773,54.805465
SM3DW_Desert_Edit,4.137914,62.06898
SM3DW_Desert,4.137914,62.06898
SM3DW_Desert_Hurry,0.000375,48.345729
SM3DW_GhostHouse_Edit,32.140958,128.568417
SM3DW_GhostHouse,32.140958,128.568417
SM3DW_GhostHouse_Hurry,5.32517,85.919728
SM3DW_Otoasobi_Bonus,5.30059,33.531134
SM3DW_Otoasobi_BonusHurry,5.485669,27.428549
SM3DW_Otoasobi_Boss,5.288844,57.595964
SM3DW_Otoasobi_BossHurry,6.076304,51.409388
SM3DW_Otoasobi_LastBoss,63.364989,77.955238
SM3DW_Otoasobi_LastBossHurry,52.31322,64.323673
SM3DW_Ground_Edit,5.894125,59.465562
SM3DW_Ground,5.894125,59.465562
SM3DW_Ground_Hurry,2.639625,62.652354
SM3DW_Snow_Edit,3.923437,53.769417
SM3DW_Snow,3.923437,53.769417
SM3DW_Snow_Hurry,0.010188,43.210062
SM3DW_Star,12.690907,27.774603
SM3DW_Underground_Edit,11.346146,66.730792
SM3DW_Underground,11.346146,66.730792
SM3DW_Underground_Hurry,0.64325,46.840333
SM3DW_Underwater_Edit,10.619479,70.088521
SM3DW_Underwater,10.619479,70.088521
SM3DW_Underwater_Hurry,0.002479,50.526729
SM3DW_Woods_Edit,4.931497,83.835601
SM3DW_Woods,4.931497,83.835601
SM3DW_Woods_Hurry,0.00125,65.452833
SMB1_Airship_Edit,8.0,72.0
SMB1_Airship,8.0,72.0
SMB1_Airship_Hurry,2.999583,26.999542
SMB1_Airship_Moon_Hurry,2.999583,26.999542
SMB1_Airship_Moon,8.0,72.0
SMB1_Athletic_Edit,4.776042,66.865604
SMB1_Athletic,2.388063,64.477625
SMB1_Athletic_Hurry,2.181812,58.909104
SMB1_Athletic_Moon_Hurry,4.363542,61.090833
SMB1_Athletic_Moon,4.776042,66.865604
SMB1_Castle_Edit,10.751125,42.751125
SMB1_Castle,10.751125,42.751125
SMB1_Castle_Hurry,6.45975,12.850875
SMB1_Castle_Moon_Hurry,6.45975,12.850875
SMB1_Castle_Moon,10.751125,42.751125
SMB1_Desert_Edit,4.965542,44.689667
SMB1_Desert,3.313229,43.037354
SMB1_Desert_Hurry,2.666958,34.666958
SMB1_Desert_Moon_Hurry,2.666667,34.666667
SMB1_Desert_Moon,3.310354,43.034479
SMB1_GhostHouse_Edit,10.666646,95.999958
SMB1_GhostHouse,10.666646,95.999958
SMB1_GhostHouse_Hurry,0.000208,27.434583
SMB1_GhostHouse_Moon_Hurry,4.2e-05,27.434417
SMB1_GhostHouse_Moon,10.666646,95.999958
SMB1_Link_Boss,0.331896,21.630021
SMB1_Link_Boss_Hurry,0.247333,16.492667
SMB1_Link_Castle,3.795833,26.158938
SMB1_Link_Castle_Hurry,3.429625,23.707458
SMB1_Link_LastBoss,0.499667,16.490188
SMB1_Link_LastBoss_Hurry,0.422583,13.854417
SMB1_Link_Plain,6.789833,38.737271
SMB1_Link_Ground_Hurry,5.784333,33.083396
SMB1_Link_Underground,0.167375,19.468542
SMB1_Link_Underground_Hurry,0.143792,17.221042
SMB1_Otoasobi_Bonus,0.000125,14.377094
SMB1_Otoasobi_Boss,6.021746,18.800726
SMB1_Otoasobi_BossHurry,4.988934,15.63839
SMB1_Otoasobi_Link_Bonus,3.094396,38.171729
SMB1_Otoasobi_Link_BonusHurry,2.545354,31.302604
SMB1_Otoasobi_Link_Healing,3.084875,27.661333
SMB1_Ground_Edit,2.396937,88.796937
SMB1_Ground,2.396937,88.796937
SMB1_Ground_Hurry,1.597938,59.105208
SMB1_Ground_Moon_Hurry,1.596083,59.103354
SMB1_Ground_Moon,2.396937,88.796937
SMB1_Snow_Edit,5.818187,52.363625
SMB1_Snow,5.818187,52.363625
SMB1_Snow_Hurry,4.8,43.2
SMB1_Snow_Moon_Hurry,9.45,47.85
SMB1_Snow_Moon,11.454562,58.0
SMB1_Star,3.203813,6.394188
SMB1_Underwater_Edit,1.602521,52.802521
SMB1_Underwater,1.602521,52.802521
SMB1_Underwater_Hurry,0.000687,19.170708
SMB1_Underwater_Moon_Hurry,0.000687,19.170708
SMB1_Underwater_Moon,1.602521,52.802521
SMB1_Woods_Edit,1.198542,39.598542
SMB1_Woods,1.198542,39.598542
SMB1_Woods_Hurry,1.062458,35.195792
SMB1_Woods_Moon_Hurry,1.066667,35.2
SMB1_Woods_Moon,1.2,39.6
SMB3_Airship_Edit,2.133313,61.866625
SMB3_Airship,2.133313,61.866625
SMB3_Airship_Hurry,27.956417,55.909813
SMB3_Airship_Moon_Hurry,27.956417,55.909813
SMB3_Airship_Moon,2.133313,61.866625
SMB3_Athletic_Edit,6.98825,37.737854
SMB3_Athletic,3.207458,33.957062
SMB3_Athletic_Hurry,2.995062,28.619542
